"Missing Javadoc for public type","A public class or interface that does not have a Javadoc comment affects maintainability.","recommendation","This type does not have a non-trivial Javadoc comment.","/src/main/java/kr/co/prgrms/jpaintro/JpaIntroApplication.java","7","14","7","32"
"Missing Javadoc for public type","A public class or interface that does not have a Javadoc comment affects maintainability.","recommendation","This type does not have a non-trivial Javadoc comment.","/src/main/java/kr/co/prgrms/jpaintro/config/DataSourceConfig.java","18","14","18","29"
"Missing Javadoc for public type","A public class or interface that does not have a Javadoc comment affects maintainability.","recommendation","This type does not have a non-trivial Javadoc comment.","/src/main/java/kr/co/prgrms/jpaintro/exception/IllegalNameException.java","3","14","3","33"
"Missing Javadoc for public type","A public class or interface that does not have a Javadoc comment affects maintainability.","recommendation","This type does not have a non-trivial Javadoc comment.","/src/main/java/kr/co/prgrms/jpaintro/domain/Customer.java","22","14","22","21"
"Missing Javadoc for public type","A public class or interface that does not have a Javadoc comment affects maintainability.","recommendation","This type does not have a non-trivial Javadoc comment.","/src/main/java/kr/co/prgrms/jpaintro/domain/CustomerRepository.java","5","18","5","35"
"Missing Javadoc for public method or constructor","A public method or constructor that does not have a Javadoc comment affects maintainability.","recommendation","This method does not have a non-trivial Javadoc comment.","/src/main/java/kr/co/prgrms/jpaintro/JpaIntroApplication.java","9","24","9","27"
"Missing Javadoc for public method or constructor","A public method or constructor that does not have a Javadoc comment affects maintainability.","recommendation","This method does not have a non-trivial Javadoc comment.","/src/main/java/kr/co/prgrms/jpaintro/config/DataSourceConfig.java","21","23","21","32"
"Missing Javadoc for public method or constructor","A public method or constructor that does not have a Javadoc comment affects maintainability.","recommendation","This method does not have a non-trivial Javadoc comment.","/src/main/java/kr/co/prgrms/jpaintro/config/DataSourceConfig.java","32","29","32","44"
"Missing Javadoc for public method or constructor","A public method or constructor that does not have a Javadoc comment affects maintainability.","recommendation","This method does not have a non-trivial Javadoc comment.","/src/main/java/kr/co/prgrms/jpaintro/config/DataSourceConfig.java","42","51","42","70"
"Missing Javadoc for public method or constructor","A public method or constructor that does not have a Javadoc comment affects maintainability.","recommendation","This method does not have a non-trivial Javadoc comment.","/src/main/java/kr/co/prgrms/jpaintro/config/DataSourceConfig.java","58","39","58","56"
"Missing Javadoc for public method or constructor","A public method or constructor that does not have a Javadoc comment affects maintainability.","recommendation","This constructor does not have a non-trivial Javadoc comment.","/src/main/java/kr/co/prgrms/jpaintro/domain/Customer.java","31","12","31","19"
"Missing Javadoc for public method or constructor","A public method or constructor that does not have a Javadoc comment affects maintainability.","recommendation","This method does not have a non-trivial Javadoc comment.","/src/main/java/kr/co/prgrms/jpaintro/domain/Customer.java","39","17","39","31"
"Missing Javadoc for public method or constructor","A public method or constructor that does not have a Javadoc comment affects maintainability.","recommendation","This method does not have a non-trivial Javadoc comment.","/src/main/java/kr/co/prgrms/jpaintro/domain/Customer.java","44","17","44","30"
"Missing Javadoc for public method or constructor","A public method or constructor that does not have a Javadoc comment affects maintainability.","recommendation","This constructor does not have a non-trivial Javadoc comment.","/src/main/java/kr/co/prgrms/jpaintro/exception/IllegalNameException.java","4","12","4","31"
"Non-final immutable field","A field of immutable type that is assigned to only in a constructor or static initializer of its declaring type, but is not declared 'final', may lead to defects and makes code less readable.","recommendation","This immutable field is not declared final but is only assigned to during initialization.","/src/main/java/kr/co/prgrms/jpaintro/domain/Customer.java","25","18","25","19"
